Design file Name,L (mm),Type,Material,Shape,h (mm),w (mm),F (N),V (mm^3),Deflection (mm),Allowable_Def (mm) L/240,Def_Ratio %,Status,Reason
2500_Beam_Steel_IPE_100_55_10000.json,2500,Beam,Steel,IPE,100,55,10000,2575000,10,10,91,PASS, Deflection: 10 mm < Allowable Deflection = 10 mm
2500_Beam_Wood_Rectangular_200_50_10000.json,2500,Beam,Wood,Rectangular,200,50,10000,25000000,10,10,94,PASS, Deflection: 10 mm < Allowable Deflection = 10 mm
3000_Beam_Concrete_Rectangular_200_150_10000.json,3000,Beam,Concrete,Rectangular,200,150,10000,90000000,2,12,18,PASS, Deflection: 2 mm < Allowable Deflection = 12 mm
3000_Beam_Steel_IPE_120_64_10000.json,3000,Beam,Steel,IPE,120,64,10000,3960000,9,12,71,PASS, Deflection: 9 mm < Allowable Deflection = 12 mm
3000_Beam_Wood_Rectangular_210_60_10000.json,3000,Beam,Wood,Rectangular,210,60,10000,37800000,12,12,97,PASS, Deflection: 12 mm < Allowable Deflection = 12 mm
3500_Beam_Concrete_Rectangular_200_150_10000.json,3500,Beam,Concrete,Rectangular,200,150,10000,105000000,4,15,24,PASS, Deflection: 4 mm < Allowable Deflection = 15 mm
3500_Beam_Steel_IPE_120_64_10000.json,3500,Beam,Steel,IPE,120,64,10000,4620000,14,15,96,PASS, Deflection: 14 mm < Allowable Deflection = 15 mm
3500_Beam_Wood_Rectangular_240_60_10000.json,3500,Beam,Wood,Rectangular,240,60,10000,50400000,13,15,89,PASS, Deflection: 13 mm < Allowable Deflection = 15 mm
4000_Beam_Concrete_Rectangular_200_150_10000.json,4000,Beam,Concrete,Rectangular,200,150,10000,120000000,5,17,32,PASS, Deflection: 5 mm < Allowable Deflection = 17 mm
4000_Beam_Steel_IPE_140_73_10000.json,4000,Beam,Steel,IPE,140,73,10000,6440000,12,17,74,PASS, Deflection: 12 mm < Allowable Deflection = 17 mm
4000_Beam_Wood_Rectangular_240_70_10000.json,4000,Beam,Wood,Rectangular,240,70,10000,67200000,17,17,99,PASS, Deflection: 17 mm < Allowable Deflection = 17 mm
4500_Beam_Concrete_Rectangular_200_150_10000.json,4500,Beam,Concrete,Rectangular,200,150,10000,135000000,8,19,40,PASS, Deflection: 8 mm < Allowable Deflection = 19 mm
4500_Beam_Steel_IPE_140_73_10000.json,4500,Beam,Steel,IPE,140,73,10000,7245000,18,19,94,PASS, Deflection: 18 mm < Allowable Deflection = 19 mm
4500_Beam_Wood_Rectangular_260_70_10000.json,4500,Beam,Wood,Rectangular,260,70,10000,81900000,19,19,99,PASS, Deflection: 19 mm < Allowable Deflection = 19 mm
5000_Beam_Concrete_Rectangular_200_150_10000.json,5000,Beam,Concrete,Rectangular,200,150,10000,150000000,10,21,50,PASS, Deflection: 10 mm < Allowable Deflection = 21 mm
5000_Beam_Steel_IPE_160_82_10000.json,5000,Beam,Steel,IPE,160,82,10000,10050000,15,21,72,PASS, Deflection: 15 mm < Allowable Deflection = 21 mm
5000_Beam_Wood_Rectangular_280_70_10000.json,5000,Beam,Wood,Rectangular,280,70,10000,98000000,20,21,98,PASS, Deflection: 20 mm < Allowable Deflection = 21 mm
5500_Beam_Concrete_Rectangular_200_150_10000.json,5500,Beam,Concrete,Rectangular,200,150,10000,165000000,14,23,60,PASS, Deflection: 14 mm < Allowable Deflection = 23 mm
5500_Beam_Steel_IPE_160_82_10000.json,5500,Beam,Steel,IPE,160,82,10000,11055000,20,23,87,PASS, Deflection: 20 mm < Allowable Deflection = 23 mm
5500_Beam_Wood_Rectangular_290_80_10000.json,5500,Beam,Wood,Rectangular,290,80,10000,127600000,21,23,93,PASS, Deflection: 21 mm < Allowable Deflection = 23 mm
6000_Beam_Concrete_Rectangular_200_150_10000.json,6000,Beam,Concrete,Rectangular,200,150,10000,180000000,18,25,72,PASS, Deflection: 18 mm < Allowable Deflection = 25 mm
6000_Beam_Steel_IPE_180_91_10000.json,6000,Beam,Steel,IPE,180,91,10000,14340000,17,25,68,PASS, Deflection: 17 mm < Allowable Deflection = 25 mm
6000_Beam_Wood_Rectangular_310_80_10000.json,6000,Beam,Wood,Rectangular,310,80,10000,148800000,23,25,91,PASS, Deflection: 23 mm < Allowable Deflection = 25 mm
6500_Beam_Concrete_Rectangular_200_150_10000.json,6500,Beam,Concrete,Rectangular,200,150,10000,195000000,23,27,85,PASS, Deflection: 23 mm < Allowable Deflection = 27 mm
6500_Beam_Steel_IPE_180_91_10000.json,6500,Beam,Steel,IPE,180,91,10000,15535000,22,27,80,PASS, Deflection: 22 mm < Allowable Deflection = 27 mm
6500_Beam_Wood_Rectangular_320_80_10000.json,6500,Beam,Wood,Rectangular,320,80,10000,166400000,26,27,97,PASS, Deflection: 26 mm < Allowable Deflection = 27 mm
7000_Beam_Concrete_Rectangular_200_150_10000.json,7000,Beam,Concrete,Rectangular,200,150,10000,210000000,29,29,98,PASS, Deflection: 29 mm < Allowable Deflection = 29 mm
7000_Beam_Steel_IPE_180_91_10000.json,7000,Beam,Steel,IPE,180,91,10000,16730000,27,29,93,PASS, Deflection: 27 mm < Allowable Deflection = 29 mm
7000_Beam_Wood_Rectangular_330_90_10000.json,7000,Beam,Wood,Rectangular,330,90,10000,207900000,27,29,91,PASS, Deflection: 27 mm < Allowable Deflection = 29 mm
7500_Beam_Concrete_Rectangular_210_150_10000.json,7500,Beam,Concrete,Rectangular,210,150,10000,236250000,30,31,97,PASS, Deflection: 30 mm < Allowable Deflection = 31 mm
7500_Beam_Steel_IPE_200_100_10000.json,7500,Beam,Steel,IPE,200,100,10000,21375000,23,31,72,PASS, Deflection: 23 mm < Allowable Deflection = 31 mm
7500_Beam_Wood_Rectangular_340_90_10000.json,7500,Beam,Wood,Rectangular,340,90,10000,229500000,30,31,95,PASS, Deflection: 30 mm < Allowable Deflection = 31 mm
8000_Beam_Concrete_Rectangular_220_150_10000.json,8000,Beam,Concrete,Rectangular,220,150,10000,264000000,32,33,96,PASS, Deflection: 32 mm < Allowable Deflection = 33 mm
8000_Beam_Steel_IPE_200_100_10000.json,8000,Beam,Steel,IPE,200,100,10000,22800000,27,33,82,PASS, Deflection: 27 mm < Allowable Deflection = 33 mm
8000_Beam_Wood_Rectangular_360_90_10000.json,8000,Beam,Wood,Rectangular,360,90,10000,259200000,30,33,91,PASS, Deflection: 30 mm < Allowable Deflection = 33 mm
8500_Beam_Concrete_Rectangular_230_150_10000.json,8500,Beam,Concrete,Rectangular,230,150,10000,293250000,34,35,95,PASS, Deflection: 34 mm < Allowable Deflection = 35 mm
8500_Beam_Steel_IPE_200_100_10000.json,8500,Beam,Steel,IPE,200,100,10000,24225000,33,35,93,PASS, Deflection: 33 mm < Allowable Deflection = 35 mm
8500_Beam_Wood_Rectangular_360_100_10000.json,8500,Beam,Wood,Rectangular,360,100,10000,306000000,33,35,93,PASS, Deflection: 33 mm < Allowable Deflection = 35 mm
9000_Beam_Concrete_Rectangular_240_150_10000.json,9000,Beam,Concrete,Rectangular,240,150,10000,324000000,35,38,94,PASS, Deflection: 35 mm < Allowable Deflection = 38 mm
9000_Beam_Steel_IPE_220_110_10000.json,9000,Beam,Steel,IPE,220,110,10000,30060000,27,38,73,PASS, Deflection: 27 mm < Allowable Deflection = 38 mm
9000_Beam_Wood_Rectangular_370_100_10000.json,9000,Beam,Wood,Rectangular,370,100,10000,333000000,36,38,96,PASS, Deflection: 36 mm < Allowable Deflection = 38 mm
9500_Beam_Concrete_Rectangular_250_150_10000.json,9500,Beam,Concrete,Rectangular,250,150,10000,356250000,37,40,92,PASS, Deflection: 37 mm < Allowable Deflection = 40 mm
9500_Beam_Steel_IPE_220_110_10000.json,9500,Beam,Steel,IPE,220,110,10000,31730000,32,40,81,PASS, Deflection: 32 mm < Allowable Deflection = 40 mm
9500_Beam_Wood_Rectangular_380_100_10000.json,9500,Beam,Wood,Rectangular,380,100,10000,361000000,39,40,99,PASS, Deflection: 39 mm < Allowable Deflection = 40 mm
10000_Beam_Concrete_Rectangular_260_150_10000.json,10000,Beam,Concrete,Rectangular,260,150,10000,390000000,38,42,91,PASS, Deflection: 38 mm < Allowable Deflection = 42 mm
10000_Beam_Steel_IPE_220_110_10000.json,10000,Beam,Steel,IPE,220,110,10000,33400000,38,42,90,PASS, Deflection: 38 mm < Allowable Deflection = 42 mm
10000_Beam_Wood_Rectangular_400_100_10000.json,10000,Beam,Wood,Rectangular,400,100,10000,400000000,39,42,94,PASS, Deflection: 39 mm < Allowable Deflection = 42 mm
10500_Beam_Concrete_Rectangular_270_150_10000.json,10500,Beam,Concrete,Rectangular,270,150,10000,425250000,39,44,90,PASS, Deflection: 39 mm < Allowable Deflection = 44 mm
10500_Beam_Steel_IPE_220_110_10000.json,10500,Beam,Steel,IPE,220,110,10000,35070000,44,44,99,PASS, Deflection: 44 mm < Allowable Deflection = 44 mm
11000_Beam_Concrete_Rectangular_270_150_10000.json,11000,Beam,Concrete,Rectangular,270,150,10000,445500000,45,46,98,PASS, Deflection: 45 mm < Allowable Deflection = 46 mm
11000_Beam_Steel_IPE_240_120_10000.json,11000,Beam,Steel,IPE,240,120,10000,43010000,36,46,78,PASS, Deflection: 36 mm < Allowable Deflection = 46 mm
11500_Beam_Concrete_Rectangular_280_150_10000.json,11500,Beam,Concrete,Rectangular,280,150,10000,483000000,46,48,96,PASS, Deflection: 46 mm < Allowable Deflection = 48 mm
11500_Beam_Steel_IPE_240_120_10000.json,11500,Beam,Steel,IPE,240,120,10000,44965000,41,48,85,PASS, Deflection: 41 mm < Allowable Deflection = 48 mm
12000_Beam_Concrete_Rectangular_290_150_10000.json,12000,Beam,Concrete,Rectangular,290,150,10000,522000000,47,50,94,PASS, Deflection: 47 mm < Allowable Deflection = 50 mm
12000_Beam_Steel_IPE_240_120_10000.json,12000,Beam,Steel,IPE,240,120,10000,46920000,46,50,92,PASS, Deflection: 46 mm < Allowable Deflection = 50 mm
12500_Beam_Concrete_Rectangular_300_150_10000.json,12500,Beam,Concrete,Rectangular,300,150,10000,562500000,48,52,93,PASS, Deflection: 48 mm < Allowable Deflection = 52 mm
12500_Beam_Steel_IPE_270_135_10000.json,12500,Beam,Steel,IPE,270,135,10000,57375000,35,52,68,PASS, Deflection: 35 mm < Allowable Deflection = 52 mm
13000_Beam_Concrete_Rectangular_310_150_10000.json,13000,Beam,Concrete,Rectangular,310,150,10000,604500000,49,54,91,PASS, Deflection: 49 mm < Allowable Deflection = 54 mm
13000_Beam_Steel_IPE_270_135_10000.json,13000,Beam,Steel,IPE,270,135,10000,59670000,40,54,73,PASS, Deflection: 40 mm < Allowable Deflection = 54 mm
13500_Beam_Concrete_Rectangular_310_150_10000.json,13500,Beam,Concrete,Rectangular,310,150,10000,627750000,55,56,98,PASS, Deflection: 55 mm < Allowable Deflection = 56 mm
13500_Beam_Steel_IPE_270_135_10000.json,13500,Beam,Steel,IPE,270,135,10000,61965000,44,56,79,PASS, Deflection: 44 mm < Allowable Deflection = 56 mm
14000_Beam_Concrete_Rectangular_320_150_10000.json,14000,Beam,Concrete,Rectangular,320,150,10000,672000000,56,58,96,PASS, Deflection: 56 mm < Allowable Deflection = 58 mm
14000_Beam_Steel_IPE_270_135_10000.json,14000,Beam,Steel,IPE,270,135,10000,64260000,49,58,85,PASS, Deflection: 49 mm < Allowable Deflection = 58 mm
14500_Beam_Concrete_Rectangular_330_150_10000.json,14500,Beam,Concrete,Rectangular,330,150,10000,717750000,57,60,94,PASS, Deflection: 57 mm < Allowable Deflection = 60 mm
14500_Beam_Steel_IPE_270_135_10000.json,14500,Beam,Steel,IPE,270,135,10000,66555000,55,60,91,PASS, Deflection: 55 mm < Allowable Deflection = 60 mm
15000_Beam_Concrete_Rectangular_340_150_10000.json,15000,Beam,Concrete,Rectangular,340,150,10000,765000000,57,62,92,PASS, Deflection: 57 mm < Allowable Deflection = 62 mm
15000_Beam_Steel_IPE_270_135_10000.json,15000,Beam,Steel,IPE,270,135,10000,68850000,61,62,97,PASS, Deflection: 61 mm < Allowable Deflection = 62 mm
15500_Beam_Steel_IPE_300_150_10000.json,15500,Beam,Steel,IPE,300,150,10000,83390000,46,65,72,PASS, Deflection: 46 mm < Allowable Deflection = 65 mm
16000_Beam_Steel_IPE_300_150_10000.json,16000,Beam,Steel,IPE,300,150,10000,86080000,51,67,77,PASS, Deflection: 51 mm < Allowable Deflection = 67 mm
16500_Beam_Steel_IPE_300_150_10000.json,16500,Beam,Steel,IPE,300,150,10000,88770000,56,69,81,PASS, Deflection: 56 mm < Allowable Deflection = 69 mm
17000_Beam_Steel_IPE_300_150_10000.json,17000,Beam,Steel,IPE,300,150,10000,91460000,61,71,86,PASS, Deflection: 61 mm < Allowable Deflection = 71 mm
17500_Beam_Steel_IPE_300_150_10000.json,17500,Beam,Steel,IPE,300,150,10000,94150000,67,73,92,PASS, Deflection: 67 mm < Allowable Deflection = 73 mm
18000_Beam_Steel_IPE_300_150_10000.json,18000,Beam,Steel,IPE,300,150,10000,96840000,73,75,97,PASS, Deflection: 73 mm < Allowable Deflection = 75 mm
18500_Beam_Steel_IPE_330_160_10000.json,18500,Beam,Steel,IPE,330,160,10000,115810000,56,77,73,PASS, Deflection: 56 mm < Allowable Deflection = 77 mm
19000_Beam_Steel_IPE_330_160_10000.json,19000,Beam,Steel,IPE,330,160,10000,118940000,61,79,77,PASS, Deflection: 61 mm < Allowable Deflection = 79 mm
19500_Beam_Steel_IPE_330_160_10000.json,19500,Beam,Steel,IPE,330,160,10000,122070000,66,81,81,PASS, Deflection: 66 mm < Allowable Deflection = 81 mm
20000_Beam_Steel_IPE_330_160_10000.json,20000,Beam,Steel,IPE,330,160,10000,125200000,71,83,85,PASS, Deflection: 71 mm < Allowable Deflection = 83 mm
